name,adm1__id
"Adygey","1"
"Altay","2"
"Amur","3"
"Arkhangel'sk","4"
"Astrakhan'","5"
"Bashkortostan","6"
"Belgorod","7"
"Bryansk","8"
"Buryat","9"
"Chechnya","10"
"Chelyabinsk","11"
"Chukot","12"
"Chuvash","13"
"City of St. Petersburg","14"
"Dagestan","15"
"Gorno-Altay","16"
"Ingush","17"
"Irkutsk","18"
"Ivanovo","19"
"Kabardin-Balkar","20"
"Kaliningrad","21"
"Kalmyk","22"
"Kaluga","23"
"Kamchatka","24"
"Karachay-Cherkess","25"
"Karelia","26"
"Kemerovo","27"
"Khabarovsk","28"
"Khakass","29"
"Khanty-Mansiy","30"
"Kirov","31"
"Komi","32"
"Kostroma","33"
"Krasnodar","34"
"Krasnoyarsk","35"
"Kurgan","36"
"Kursk","37"
"Leningrad","38"
"Lipetsk","39"
"Maga Buryatdan","40"
"Mariy-El","41"
"Mordovia","42"
"Moscow City","43"
"Moskva","44"
"Murmansk","45"
"Nenets","46"
"Nizhegorod","47"
"North Ossetia","48"
"Novgorod","49"
"Novosibirsk","50"
"Omsk","51"
"Orel","52"
"Orenburg","53"
"Penza","54"
"Perm'","55"
"Primor'ye","56"
"Pskov","57"
"Rostov","58"
"Ryazan'","59"
"Sakha","60"
"Sakhalin","61"
"Samara","62"
"Saratov","63"
"Smolensk","64"
"Stavropol'","65"
"Sverdlovsk","66"
"Tambov","67"
"Tatarstan","68"
"Tomsk","69"
"Tula","70"
"Tuva","71"
"Tver'","72"
"Tyumen'","73"
"Udmurt","74"
"Ul'yanovsk","75"
"Vladimir","76"
"Volgograd","77"
"Vologda","78"
"Voronezh","79"
"Yamal-Nenets","80"
"Yaroslavl'","81"
"Yevrey","82"
"Zabaykal'ye","83"
